Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CClipboardStatics_MethodDiagnostics@ClipboardTracing@@SAXPEBGJ@Z,0x18006bf8a,Microsoft.Windows.AppModel.Clipboard,{28D62FB0-2131-41D6-84E8-E2325867964C},CClipboardStatics_MethodDiagnostics,5,0x1,"apiName:UnicodeString, hr:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?CClipboardStatics_MethodDiagnostics@ClipboardTracing@@SAXPEBGJ@Z,0x18006bfb5,Microsoft.Windows.AppModel.Clipboard,{28D62FB0-2131-41D6-84E8-E2325867964C},CClipboardStatics_MethodDiagnostics,5,0x200000000001,"apiName:UnicodeString, hr:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?CClipboardStatics_MethodDiagnostics_SetContent@ClipboardTracing@@SAXJJ@Z,0x18006c03d,Microsoft.Windows.AppModel.Clipboard,{28D62FB0-2131-41D6-84E8-E2325867964C},CClipboardStatics_MethodDiagnostics,5,0x1,"apiName:AnsiString, hr:Int32(HResult), oleInitHr:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?CClipboardStatics_MethodDiagnostics_SetContent@ClipboardTracing@@SAXJJ@Z,0x18006c068,Microsoft.Windows.AppModel.Clipboard,{28D62FB0-2131-41D6-84E8-E2325867964C},CClipboardStatics_MethodDiagnostics,5,0x200000000001,"apiName:AnsiString, hr:Int32(HResult), oleInitHr:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?NotifyFailure@?$ActivityBase@VDataPackageTracing@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003d9f1,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VDataPackageTracing@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003db44,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VDataPackageTracing@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18004f904,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$ClipboardMemory@AEAHAEA_K@DataPackageTracing@@SAXAEAHAEA_K@Z,0x18000749c,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},ClipboardMemory,5,0x400000000000,"DelayedRender:Int32, PageSizeEstimate:UInt64",CallGraph-d1
??$ClipboardMemory@_NAEA_K@DataPackageTracing@@SAX$$QEA_NAEA_K@Z,0x180007571,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},ClipboardMemory,5,0x400000000000,"DelayedRender:Int32, PageSizeEstimate:UInt64",CallGraph-d1
?StartActivity@DelayedRenderActivity@DataPackageTracing@@QEAAXXZ,0x18004f736,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},DelayedRenderActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@DelayedRenderActivity@DataPackageTracing@@MEAAXXZ,0x18004fa7b,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},DelayedRenderActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@DelayedRenderActivity@DataPackageTracing@@MEAAXXZ,0x18004fc10,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},DelayedRenderActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?ShareCanceledEventFired@DataPackageTracing@@SAXPEBD@Z,0x18004e401,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},ShareCanceledEventFired,5,0x0,__TlgCV__:AnsiString,CallGraph-d1
??$ShareCompletedEventFired@AEA_J@DataPackageTracing@@SAXAEA_JPEBD@Z,0x18000d611,Microsoft.Windows.DataPackage,{3889F5D8-66B1-44D9-B52C-48CA283AC5D8},ShareCompletedEventFired,5,0x0,"applicationId:Int64, __TlgCV__:AnsiString",CallGraph-d1
