Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?StarMenuSettings_RecentItemRegistryWatcherNotInitialized@StartScreenImplementationTelemetry@implementation@Implementation@StartScreen@UI@WindowsUdk@winrt@@SAXXZ,0x18043321d,Microsoft-Windows-Shell-Launcher,{3D6120A6-0986-51C4-213A-E2975903051D},StarMenuSettings_RecentItemRegistryWatcherNotInitialized,3,0x0,(none),CallGraph-d2
??$StartResize_LayoutChanged@AEAW4StartMenuLayout@Implementation@StartScreen@UI@WindowsUdk@winrt@@_N@StartScreenImplementationTelemetry@implementation@Implementation@StartScreen@UI@WindowsUdk@winrt@@SAXAEAW4StartMenuLayout@23456@$$QEA_N@Z,0x1804322f4,Microsoft-Windows-Shell-Launcher,{3D6120A6-0986-51C4-213A-E2975903051D},StartResize_LayoutChanged,4,0x0,"startLayout:UInt32, firstUserChange:UInt8(Boolean)",CallGraph-d2
??$StartResize_ShouldShowRecoPersonalizedSitesChanged@AEA_N_N@StartScreenImplementationTelemetry@implementation@Implementation@StartScreen@UI@WindowsUdk@winrt@@SAXAEA_N$$QEA_N@Z,0x180432375,Microsoft-Windows-Shell-Launcher,{3D6120A6-0986-51C4-213A-E2975903051D},StartResize_ShouldShowRecoPersonalizedSitesChanged,4,0x0,"shouldShowRecoPersonalizedRecommendations:UInt8(Boolean), firstUserChange:UInt8(Boolean)",CallGraph-d2
??$Trace@AEAPEBDAEAPEBDAEAIAEAY0IAA@_W@ZTraceProvider@@SAXAEAPEBD0AEAIAEAY0IAA@_W@Z,0x1803939a0,Microsoft.UDK.DictatedTextInputSession,{44E7B915-BE47-5B56-EF71-833656186FEB},Trace,5,0x0,"file:AnsiString, function:AnsiString, line:UInt32, message:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VPlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180382f75,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VPlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1803830bd,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VPlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1803832c5,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VPlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18038340d,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
??$EvaluatingRegistration@AEAPEA_WAEA_N@TryLookupExtensionPointImplementationAcid@PlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@SAXAEAPEA_WAEA_N@Z,0x180051c77,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},EvaluatingRegistration,5,0x0,"acid:UnicodeString, isDefault:UInt8(Boolean)",CallGraph-d2
?GetActivationFactoryForContractExtension_@PlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@QEAAXPEAUHSTRING__@@UWindowId@WindowManagement@ApplicationModel@45@AEBU_GUID@@@Z,0x180050fd1,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},GetActivationFactoryForContractExtension,5,0x200000000000,"PartA_PrivTags:UInt64, extensionPointName:UnicodeString, contextWindowId:UInt32, requestedIid:GUID",CallGraph-d2
?GetActivationFactoryForContractExtensionResult_@PlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@QEAAX_NPEB_W@Z,0x18040f018,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},GetActivationFactoryForContractExtensionResult,5,0x200000000000,"PartA_PrivTags:UInt64, wasFactoryReturned:UInt8(Boolean), registeredAcid:UnicodeString",CallGraph-d2
?StartActivity@IsExtensionAvailable@PlatformExtensionsTelemetry@Details@PlatformExtensions@Internal@Windows@@QEAAXPEAUHSTRING__@@UWindowId@WindowManagement@ApplicationModel@56@@Z,0x18040f9ed,Microsoft.Windows.PlatformExtensions,{0ADAF93D-4C15-502D-449A-9445AAE0D781},IsExtensionAvailable,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, extensionPointName:UnicodeString, contextWindowId:UInt32",CallGraph-d2
