Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
WriteKeyGuardDataToRegistry,0x140044286,Microsoft.Windows.Security.KeyGuard,{37E53459-522D-5F7D-9A19-ECFD819075C2},KeyguardAdoption,0,0x800000000000,"KGUsageCount:Int64, KGAttestationUsageCount:Int64, PKCS11UnwrappingCount:Int64, KeyGuardRunningInProd:Bool32, PartA_PrivTags:UInt64",Direct-Preceding
?SBServicingCoreShutdownEvent@SBServicingCoreTelemetryProvider@@SAXJKKHPEBG@Z,0x140066136,Microsoft.Windows.Security.SBServicingCore,{19F3C2D5-CE3B-522F-895E-F4F0442D8B5C},ShutdownState,5,0x800000000000,"HResult:Int32(HResult), ShutdownFlags:Int32, SBUpdateInfo:Int32, isForceUploadWaitTimeout:Bool32, FailedAction:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?SBServicingCoreShutdownEventRealTime@SBServicingCoreTelemetryProvider@@SAXJKK@Z,0x14006621d,Microsoft.Windows.Security.SBServicingCore,{19F3C2D5-CE3B-522F-895E-F4F0442D8B5C},ShutdownStateRealTime,5,0x800000000000,"HResult:Int32(HResult), ShutdownFlags:Int32, SBUpdateInfo:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?AntiRollbackCheckLkeyUnsealPolicyUpgrade@@YAKXZ,0x1400571f9,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackCheckLkeyUnsealPolicyUpgradeComplete,4,0x400000000000,"PartA_PrivTags:UInt64, hr:Int32, NewLatchTimerNeeded:Bool32, NewLatchTimerWaitingSystemUpdateCompletion:Bool32, PreviousLatchTimerExistsButDisabled:Bool32, PolicyFileExists:Bool32",Direct-Preceding
?AntiRollbackCheckLkeyUnsealPolicyUpgrade@@YAKXZ,0x140057130,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackCheckLkeyUnsealPolicyUpgradeComplete2,4,0x400000000000,"PartA_PrivTags:UInt64, hr:Int32, g_SealedPolicyVersion:UInt64, MbrVersion:UInt64, mbrHr:Int32(HResult), NewLatchTimerNeeded:Bool32, NewLatchTimerWaitingSystemUpdateCompletion:Bool32, PreviousLatchTimerExistsButDisabled:Bool32, PolicyFileExists:Bool32",Direct-Preceding
?AntiRollbackCheckResumeLatchTimer@@YAXPEAUtag_LKEY_UNSEAL_POLICY@@H@Z,0x140057643,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackCheckResumeLatchTimerComplete,4,0x400000000000,"PartA_PrivTags:UInt64, hr:Int32, uliNowTime:UInt64, ullPreviousTimerStartTime:UInt64, LatchDelay:UInt64, ullPendingPolicyVersion:UInt64, fAttemptedRecoveryIncrementCounterSucceeded:Bool32, fPreviousLatchTimerInvalid:Bool32, fPolicyFileExists:Bool32",Direct-Preceding
AntiRollbackCheckUpdateState,0x140057d4f,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackCheckUpdateStateCompleted,4,0x400000000000,"PartA_PrivTags:UInt64, QualityUpdateStateHasValue:Bool32, QualityUpdateState:UInt32, FeatureUpdateCompleteStateHasValue:Bool32, FeatureUpdateCompleteState:UInt32, NewLatchTimerWaitingSystemUpdateCompletion:Bool32, NewLatchTimerNeeded:Bool32, hr:Int32",Direct-Preceding
?AntiRollbackClearDelayTimerStartTime@@YAJPEBG@Z,0x140057f95,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackClearDelayTimerStartTime,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error)",Direct-Preceding
?AntiRollbackGetDelayTime@@YA_KXZ,0x14005816e,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackGetDelayTimeComplete,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), s_ullDelay:UInt64",Direct-Preceding
?AntiRollbackGetDelayTimerStartTime@@YAJPEBGPEA_K@Z,0x14005839c,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackGetDelayTimerStartTime,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), ullStartTime:UInt64",Direct-Preceding
?AntiRollbackGetLatchDelayTimerLKeyPkgId@@YAJPEA_K@Z,0x14005853d,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackGetLatchDelayTimerLKeyPkgId,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), LKeyPkgId:UInt64",Direct-Preceding
?AntiRollbackGetLatchDelayTimerPolicyVersion@@YAJPEA_K@Z,0x140058781,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackGetLatchDelayTimerPolicyVersion,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), PolicyVersion:UInt64",Direct-Preceding
AntiRollbackIncrementCounter,0x140058c72,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackIncrementCounterComplete,4,0x800000000000,"PartA_PrivTags:UInt64, HResult:Int32, Counter:UInt64, PendingLKeyPkgId:UInt64, PendingPolicyVersion:UInt64, CounterIncremented:Int32",Direct-Preceding
?AntiRollbackLatchClearTimer@@YAJXZ,0x14005903f,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackLatchClearTimer,4,0x0,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error)",Direct-Preceding
AntiRollbackLatchDelayTimerCallbackWork,0x1400591c9,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackLatchDelayTimerCallbackWork,4,0x200000000000,"PartA_PrivTags:UInt64, HResult:Int32(HResult), IncrementSuccess:Bool32",Direct-Preceding
?AntiRollbackLatchSaveTimer@@YAJPEAU_FILETIME@@_K1@Z,0x140059518,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackLatchSaveTimer,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), PolicyVersion:UInt64",Direct-Preceding
?AntiRollbackLatchStartTimer@@YAKPEAU_FILETIME@@_K1@Z,0x14005978b,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackLatchStartTimerComplete,4,0x400000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), ftStartTime:UInt64, ftDueTime:UInt64, ullDelay:UInt64, ullPolicyVersion:UInt64",Direct-Preceding
?AntiRollbackSetDelayTimerStartTime@@YAJPEBGPEAU_FILETIME@@@Z,0x140059a33,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},AntiRollbackSetDelayTimerStartTime,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), uliStartTime:UInt64",Direct-Preceding
??$BeginShutdown@AEAK@WininitProvider@@SAXAEAKPEBD@Z,0x140011a0f,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},BeginShutdown,5,0x400000000000,"ShutdownFlags:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
?BootAppAntiRollbackCheckResumeTimer@@YAXPEAU_BOOT_APP_ANTI_ROLLBACK_CONTEXT@@@Z,0x14005b2ec,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},BootAppAntiRollbackCheckResumeTimerComplete,4,0x400000000000,"Result:Int32, NowTime:UInt64, PreviousTimerStartTime:UInt64, GracePeriod:UInt64, AttemptedRecoveryEnforcementSucceeded:Bool32",Direct-Preceding
BootAppAntiRollbackCheckUpdateState,0x14005b823,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},BootAppAntiRollbackCheckUpdateStateComplete,4,0x400000000000,"QualityUpdateStateHasValue:Bool32, QualityUpdateState:UInt32, FeatureUpdateCompleteStateHasValue:Bool32, FeatureUpdateCompleteState:UInt32, IsTimerWaitingUpdateCompletion:Bool32, IsNewTimerNeeded:Bool32, Result:Int32",Direct-Preceding
?BootAppAntiRollbackEnforceBootStl@@YAJPEAU_BOOT_APP_ANTI_ROLLBACK_CONTEXT@@@Z,0x14005bd21,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},BootAppAntiRollbackEnforceBootStlComplete,4,0x800000000000,"PartA_PrivTags:UInt64, Source Path:UnicodeString, Destination Path:UnicodeString, NTSTATUS:Int32, HResult:Int32, BootStlEnforced:Int32",Direct-Preceding
?BootAppAntiRollbackEnforceBootStl@@YAJPEAU_BOOT_APP_ANTI_ROLLBACK_CONTEXT@@@Z,0x14005bdb1,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},BootAppAntiRollbackEnforceBootStlComplete,4,0x800000000000,"PartA_PrivTags:UInt64, NTSTATUS:Int32, HResult:Int32, BootStlEnforced:Int32",Direct-Preceding
?BootAppAntiRollbackInitializeBootStlUpgrade@@YAKPEAU_BOOT_APP_ANTI_ROLLBACK_CONTEXT@@@Z,0x14005c6fa,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},BootAppAntiRollbackInitializeBootStlUpgrade,4,0x400000000000,"Result:Int32, NewTimerNeeded:Bool32, NewTimerWaitingUpdateCompletion:Bool32, PreviousTimerExistsButDisabled:Bool32",Direct-Preceding
?BootAppAntiRollbackStartTimer@@YAKPEAU_BOOT_APP_ANTI_ROLLBACK_CONTEXT@@PEAU_FILETIME@@_K@Z,0x14005cb5c,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},BootAppAntiRollbackStartTimerComplete,4,0x400000000000,"win32error:UInt32(Win32Error), FileStartTime:UInt64, DueTime:UInt64, GracePeriod:UInt64",Direct-Preceding
WinMain,0x14004ef1e,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},FatalFailure,4,0x400000000000,FailureCode:UInt32,Direct-Preceding
?GetAntiRollbackDirectFromRegistry@@YAXXZ,0x140059f75,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},GetAntiRollbackDirectFromRegistry,4,0x200000000000,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), DirectAntiRollbackGracePeriodAction:UInt64, CiPolicyVersion:UInt64, LKeyPkgId:UInt64",Direct-Preceding
?GetCurrentMbrVersion@@YAJPEA_K@Z,0x14005a266,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},GetCurrentMbrVersion,4,0x0,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), latchedMbr:UInt64",Direct-Preceding
?GetCurrentUbrVersion@@YAJPEA_K@Z,0x14005a409,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},GetCurrentUbrVersion,4,0x0,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), ubr:UInt64",Direct-Preceding
?IsHeadlessConfig@@YAHXZ,0x1400039d9,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},HeadlessConfig,4,0x200000000000,isHeadless:UInt32,Direct-Preceding
??$InternalInitiateShutdown@AEAKAEAKAEAHAEAKAEAKAEAKAEA_N@WininitProvider@@SAXAEAK0AEAH000AEA_NPEBD@Z,0x140006067,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},InternalInitiateShutdown,5,0x400000000000,"dwRet:UInt32, dwSessionId:UInt32, fRemote:Int32, dwGracePeriod:UInt32, dwShutdownFlags:UInt32, dwReason:UInt32, fInitiatedFromVailContainer:UInt8(Boolean), __TlgCV__:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
??$LsassStarted@HAEAKAEAKK@WininitProvider@@SAX$$QEAHAEAK1$$QEAK@Z,0x140011cea,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},LsassStarted,5,0x400000000000,"isAuditModeAutoEnabled:Int32, pplEnablementValue:UInt32, lsaProtection:UInt8, pplAutoEnableState:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
?WinInitNotifyShutdown@@YAKK@Z,0x1400430cd,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},NotifyingServices,4,0x400000000000,(none),Direct-Preceding
??$NtShutdownSystem@AEAW4_SHUTDOWN_ACTION@@AEAJ@WininitProvider@@SAXAEAW4_SHUTDOWN_ACTION@@AEAJPEBD@Z,0x140011de3,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},NtShutdownSystem,5,0x400000000000,"shutdownAction:UInt8, status:Int32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
?ReadUbrVersionFromRegistry@@YAJPEBGPEA_K@Z,0x14005a5e0,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},ReadUbrVersionFromRegistry,4,0x0,"PartA_PrivTags:UInt64, win32error:UInt32(Win32Error), mbrValue:UInt64",Direct-Preceding
?RecordShutdownReason_@WininitProvider@@QEAAXKK@Z,0x140051747,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},RecordShutdownReason,4,0x400000000000,"Flags:UInt32, ReasonCode:UInt32, EventType:UInt32, ShutdownCancelled:Bool32",CallGraph-d1
?NotifyWinlogonOfNonForcedShutdown@@YAKKKK@Z,0x140002e80,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},SendingUserLoggoffShutdownRequest,4,0x400000000000,ExitWindowsFlags:UInt64,Direct-Preceding
?SetMBRVersion@@YAJ_K0@Z,0x14005a700,Microsoft.Windows.Security.Wininit,{98177D7F-7D3A-51EF-2D41-2414BB2C0BDB},SetMBRVersion,4,0x0,"PartA_PrivTags:UInt64, Latchedwin32error:UInt32(Win32Error), LatchedMbr:UInt64, Unlatchedwin32error:UInt32(Win32Error), UnlatchedMbr:UInt64",Direct-Preceding
