Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_1800D79B8,0x1800d7c3e,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},AllowRemoteControlOfMyPlayer,5,0x400000000000,nButtonPressed:UInt32,SingleProvider
sub_1800E5B70,0x1800e5bb0,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},ApplySkin,5,0x400000000000,(none),SingleProvider
sub_1800D82CC,0x1800d839a,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},ChangeRippingFormat,5,0x400000000000,RippingFormat:UInt8,SingleProvider
sub_1804C89C0,0x1804c8a6c,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},ChangeRippingFormat,5,0x400000000000,RippingFormat:UInt8,SingleProvider
sub_1800DA868,0x1800da9a1,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},Enhancements,5,0x400000000000,strSetting:UnicodeString,SingleProvider
sub_1800C851C,0x1800c8a77,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},FileCounts,5,0x400000000000,"NumberOfDRMFiles:UInt32, NumberOfTracksWithUserRatings:UInt32",SingleProvider
sub_1800D86F4,0x1800d87fa,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},FileCreateAutoPlayList,5,0x400000000000,hr:Int32(HResult),SingleProvider
sub_1800D10F8,0x1800d11df,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},FileOpenUrl,5,0x400000000000,hr:Int32(HResult),SingleProvider
sub_1800D0EBC,0x1800d0f08,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},FileSaveNowPlaylistAs,5,0x400000000000,(none),SingleProvider
sub_1800DB804,0x1800db9af,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},FileWorkOffline,5,0x400000000000,(none),SingleProvider
sub_180573884,0x180573f09,Microsoft.Windows.WindowsMediaPlayer,{596426A4-3A6D-526C-5C63-7CA60DB99F8F},FindAlbumInfoDialogLaunched,5,0x400000000000,(none),SingleProvider
