Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CallCloudAP@CloudAPHelper@@AEAAJPEAEKPEAPEAXPEAK@Z,0x1800149d9,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?CallCloudAP@CloudAPHelper@@AEAAJPEAEKPEAPEAXPEAK@Z,0x180014a6e,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?CallCloudAP@CloudAPHelper@@AEAAJPEAEKPEAPEAXPEAK@Z,0x180014b02,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?CallCloudAP@CloudAPHelper@@AEAAJPEAEKPEAPEAXPEAK@Z,0x180014b92,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?CallCloudAP@CloudAPHelper@@AEAAJPEAEKPEAPEAXPEAK@Z,0x180014c2a,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?CallCloudAP@CloudAPHelper@@AEAAJPEAEKPEAPEAXPEAK@Z,0x180014d03,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?CallCloudAP@CloudAPHelper@@AEAAJPEAEKPEAPEAXPEAK@Z,0x180014d6d,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?GetInstanceOfCloudAPHelper@@YAJAEBU_GUID@@PEAPEAVICloudAPHelper@@@Z,0x180015091,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?GetInstanceOfCloudAPHelper@@YAJAEBU_GUID@@PEAPEAVICloudAPHelper@@@Z,0x180015113,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x1800151fe,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x180015294,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x180015339,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x1800153d6,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x180015470,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x18001550c,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x1800155a8,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x180015648,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
?GetServerNonce@CloudAPHelper@@UEAAJPEAPEAG@Z,0x1800156c6,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString",Direct-Preceding
?Initialize@CloudAPHelper@@QEAAJAEBU_GUID@@@Z,0x18001588c,Microsoft.Windows.RemoteDesktop.WtsApi32,{AFEBA46F-44FB-40E8-B37E-4D849350E809},CloudAPHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, Failed:AnsiString",Direct-Preceding
